fasta_index,seq_id,accession,country,year,sequence_length,gc_content,ambiguous_bases,excel_regions,metadata_provenance,cluster
0,PD363191.1_China_2000,PD363191.1,China,2000,2000,50.15,0,China,Excel_Verified,Cluster 6
1,MF769811.1_China_2017,MF769811.1,China,2017,2000,50.3,0,China,Excel_Verified,Cluster 2
2,MF769807.1_China_2018,MF769807.1,China,2018,2000,50.15,0,China,Excel_Verified,Cluster 6
3,MT582241.1_China_2017,MT582241.1,China,2017,2000,50.25,0,China,Excel_Verified,Cluster 6
4,NC_031753.1_USA_2015,NC_031753.1,USA,2015,2000,50.3,0,Absent_in_Excel,FASTA_Header_Only,Cluster 1
5,PP067102.1_China_2023,PP067102.1,China,2023,2000,50.15,0,South Korea,Geography_Conflict_Excel,Cluster 2
6,PZ311593.1_SouthKorea_2025,PZ311593.1,South Korea,2025,2000,50.4,0,China/South Korea,Geography_Conflict_Excel,Cluster 2
7,PV764911.1_China_2023,PV764911.1,China,2023,2000,50.4,0,China,Excel_Verified,Cluster 2
8,OP616730.1_NorthAmerica_2021,OP616730.1,N America,2021,2000,50.25,0,N America,Excel_Verified,Cluster 2
9,OM818375.1_Italy_2021,OM818375.1,Italy,2021,2000,50.6,0,Italy,Excel_Verified,Cluster 3
10,ON418890.1_Canada_2018,ON418890.1,Canada,2018,2000,50.4,0,Canada,Excel_Verified,Cluster 3
11,ON015889.1_Hungary_2021,ON015889.1,Hungary,2021,2000,50.15,0,Hungary,Excel_Verified,Cluster 2
12,ON015885.1_Hungary_2021,ON015885.1,Hungary,2021,2000,50.4,0,Hungary,Excel_Verified,Cluster 3
13,ON015883.1_Hungary_2021,ON015883.1,Hungary,2021,2000,50.35,0,Hungary,Excel_Verified,Cluster 2
14,MN848608.1_China_2019,MN848608.1,China,2019,2000,50.3,0,China,Excel_Verified,Cluster 6
15,MN848602.1_China_2019,MN848602.1,China,2019,2000,50.05,0,China,Excel_Verified,Cluster 6
16,MW453538.1_China_2020,MW453538.1,China,2020,2000,50.45,0,China,Excel_Verified,Cluster 3
17,MW032262.1_China_2019,MW032262.1,China,2019,2000,50.4,0,China,Excel_Verified,Cluster 6
18,MW168693.1_SouthKorea_2021,MW168693.1,South Korea,2021,2000,50.4,0,South Korea,Excel_Verified,Cluster 3
19,MG868940.1_China_2017,MG868940.1,China,2017,1999,50.28,0,China,Excel_Verified,Cluster 6
20,MT104510.1_China_2018,MT104510.1,China,2018,2000,50.3,0,China,Excel_Verified,Cluster 1
21,MF805722.1_Italy_2016,MF805722.1,Italy,2016,2000,50.25,0,Italy,Excel_Verified,Cluster 2
22,MF805719.1_Italy_2017,MF805719.1,Italy,2017,2000,50.3,0,Italy,Excel_Verified,Cluster 2
23,OM818376.1_Italy_2021,OM818376.1,Italy,2021,2000,50.0,0,Italy,Excel_Verified,Cluster 3
24,PQ468882.1_Italy_2023,PQ468882.1,Italy,2023,2000,50.3,0,Italy,Excel_Verified,Cluster 3
25,MN781192.1_Italy_2019,MN781192.1,Italy,2019,2000,50.35,0,Italy,Excel_Verified,Cluster 3
26,MH558676.1_Spain_2012,MH558676.1,Spain,2012,2000,50.25,0,Spain,Excel_Verified,Cluster 1
27,MF805720.1_Spain_2017,MF805720.1,Spain,2017,2000,50.2,0,Spain,Excel_Verified,Cluster 2
28,MF805723.1_Denmark_2017,MF805723.1,Denmark,2017,2000,50.3,0,Denmark,Excel_Verified,Cluster 3
29,MF805724.1_Denmark_2017,MF805724.1,Denmark,2017,2000,50.45,0,Denmark,Excel_Verified,Cluster 3
30,OQ754381.1_Italy_2021,OQ754381.1,Italy,2021,2000,50.2,0,Italy,Excel_Verified,Cluster 4
31,OQ754383.1_Italy_2021,OQ754383.1,Italy,2021,2000,50.35,0,Italy,Excel_Verified,Cluster 4
32,MF162299.1_Italy_2017,MF162299.1,Italy,2017,2000,50.4,0,Italy,Excel_Verified,Cluster 2
33,PQ468885.1_Italy_2023,PQ468885.1,Italy,2023,2000,50.55,0,Italy,Excel_Verified,Cluster 3
34,PZ311601.1_SouthKorea_2025,PZ311601.1,South Korea,2025,2000,50.35,0,South Korea,Excel_Verified,Cluster 2
35,MF063071.1_SouthKorea_2016,MF063071.1,South Korea,2016,2000,50.35,0,South Korea,Excel_Verified,Cluster 1
36,PP965278.1_SouthKorea_2022,PP965278.1,South Korea,2022,2000,50.25,0,South Korea,Excel_Verified,Cluster 3
37,PP965277.1_SouthKorea_2021,PP965277.1,South Korea,2021,2000,50.35,0,South Korea,Excel_Verified,Cluster 1
38,MN698824.1_SouthKorea_2019,MN698824.1,South Korea,2019,2000,50.4,0,South Korea,Excel_Verified,Cluster 6
39,MN698820.1_SouthKorea_2018,MN698820.1,South Korea,2018,2000,50.35,0,South Korea,Excel_Verified,Cluster 1
40,MN698816.1_SouthKorea_2017,MN698816.1,South Korea,2017,2000,50.4,0,South Korea,Excel_Verified,Cluster 1
41,MN698814.1_SouthKorea_2016,MN698814.1,South Korea,2016,2000,50.3,0,South Korea,Excel_Verified,Cluster 2
42,MN698811.1_SouthKorea_2015,MN698811.1,South Korea,2015,2000,50.1,0,South Korea,Excel_Verified,Cluster 6
43,MN698792.1_SouthKorea_2009,MN698792.1,South Korea,2009,2000,50.25,0,South Korea,Excel_Verified,Cluster 1
44,MN698795.1_SouthKorea_2010,MN698795.1,South Korea,2010,2000,50.25,0,South Korea,Excel_Verified,Cluster 6
45,MN698798.1_SouthKorea_2011,MN698798.1,South Korea,2011,2000,50.25,0,South Korea,Excel_Verified,Cluster 6
46,MN698801.1_SouthKorea_2012,MN698801.1,South Korea,2012,2000,50.05,0,South Korea,Excel_Verified,Cluster 6
47,MN698804.1_SouthKorea_2013,MN698804.1,South Korea,2013,2000,50.25,0,South Korea,Excel_Verified,Cluster 6
48,MN698808.1_SouthKorea_2014,MN698808.1,South Korea,2014,2000,50.1,0,South Korea,Excel_Verified,Cluster 1
49,LC383841.1_Japan_2016,LC383841.1,Japan,2016,2000,50.2,0,Japan,Excel_Verified,Cluster 2
50,LC383840.1_Japan_2016,LC383840.1,Japan,2016,2000,50.2,0,Japan,Excel_Verified,Cluster 2
51,LC269727.1_Japan_2016,LC269727.1,Japan,2016,2000,50.35,0,Japan,Excel_Verified,Cluster 2
52,MG595741.1_Hungary_2017,MG595741.1,Hungary,2017,2000,50.2,0,Hungary,Excel_Verified,Cluster 6
53,ON015882.1_Hungary_2021,ON015882.1,Hungary,2021,2000,50.3,0,Hungary,Excel_Verified,Cluster 2
54,ON015884.1_Hungary_2021,ON015884.1,Hungary,2021,2000,50.25,0,Hungary,Excel_Verified,Cluster 2
55,ON015886.1_Hungary_2021,ON015886.1,Hungary,2021,2000,50.35,0,Hungary,Excel_Verified,Cluster 3
56,ON015887.1_Hungary_2021,ON015887.1,Hungary,2021,2000,50.45,0,Hungary,Excel_Verified,Cluster 3
57,ON015888.1_Hungary_2021,ON015888.1,Hungary,2021,2000,50.5,0,Hungary,Excel_Verified,Cluster 3
58,ON015890.1_Hungary_2021,ON015890.1,Hungary,2021,2000,50.3,0,Hungary,Excel_Verified,Cluster 6
59,MH823219.1_NorthAmerica_2018,MH823219.1,N America,2018,2000,50.65,0,N America,Excel_Verified,Cluster 6
60,MT183690.1_China_2019,MT183690.1,China,2019,2000,50.1,0,N America,Geography_Conflict_Excel,Cluster 6
61,MN725086.1_Malaysia_2019,MN725086.1,Malaysia,2019,2000,49.95,0,Malaysia,Excel_Verified,Cluster 6
62,MN725085.1_Malaysia_2019,MN725085.1,Malaysia,2019,2000,50.1,0,Malaysia,Excel_Verified,Cluster 6
63,MN725084.1_Malaysia_2019,MN725084.1,Malaysia,2019,2000,50.25,0,Absent_in_Excel,FASTA_Header_Only,Cluster 6
64,MN725083.1_Malaysia_2019,MN725083.1,Malaysia,2019,2000,50.05,0,Malaysia,Excel_Verified,Cluster 6
65,MN725082.1_Malaysia_2019,MN725082.1,Malaysia,2019,2000,50.2,0,Malaysia,Excel_Verified,Cluster 2
66,MN725080.1_Malaysia_2018,MN725080.1,Malaysia,2018,2000,50.45,0,Malaysia,Excel_Verified,Cluster 2
67,KX458235.1_USA_2015,KX458235.1,USA,2015,2000,50.15,0,USA,Excel_Verified,Cluster 6
68,KT869077.1_USA_2015,KT869077.1,USA,2015,2000,50.3,0,USA,Excel_Verified,Cluster 1
69,PZ311596.1_SouthKorea_2025,PZ311596.1,South Korea,2025,2000,50.4,0,South Korea,Excel_Verified,Cluster 2
70,PZ311594.1_SouthKorea_2025,PZ311594.1,South Korea,2025,2000,50.3,0,South Korea,Excel_Verified,Cluster 6
71,OQ754397.1_Italy_2022,OQ754397.1,Italy,2022,2000,49.95,0,Italy,Excel_Verified,Cluster 4
72,OQ754396.1_Italy_2021,OQ754396.1,Italy,2021,2000,50.65,0,Italy,Excel_Verified,Cluster 7
73,OQ754395.1_Italy_2021,OQ754395.1,Italy,2021,2000,50.5,0,Italy,Excel_Verified,Cluster 7
74,OQ754394.1_Italy_2021,OQ754394.1,Italy,2021,2000,50.5,0,Italy,Excel_Verified,Cluster 7
75,OQ754393.1_Italy_2021,OQ754393.1,Italy,2021,2000,50.75,0,Italy,Excel_Verified,Cluster 4
76,OQ754392.1_Italy_2022,OQ754392.1,Italy,2022,2000,50.25,0,Italy,Excel_Verified,Cluster 4
77,OQ754383.1_Italy_2022,OQ754383.1,Italy,2022,2000,50.35,0,Italy,Excel_Verified,Cluster 4
78,OQ754382.1_Italy_2021,OQ754382.1,Italy,2021,2000,50.25,0,Italy,Excel_Verified,Cluster 4
79,OQ754380.1_Italy_2021,OQ754380.1,Italy,2021,2000,50.4,0,Italy,Excel_Verified,Cluster 4
80,OQ754379.1_Italy_2021,OQ754379.1,Italy,2021,2000,50.5,0,Italy,Excel_Verified,Cluster 4
81,OP616729.1_NorthAmerica_2021,OP616729.1,N America,2021,1999,50.18,0,N America,Excel_Verified,Cluster 2
82,OM818374.1_Italy_2021,OM818374.1,Italy,2021,2000,50.05,0,Italy,Excel_Verified,Cluster 3
83,OP616728.1_NorthAmerica_2021,OP616728.1,N America,2021,2000,50.2,0,N America,Excel_Verified,Cluster 2
84,OP616727.1_NorthAmerica_2020,OP616727.1,N America,2020,2000,50.35,0,N America,Excel_Verified,Cluster 2
85,OP616726.1_NorthAmerica_2020,OP616726.1,N America,2020,2000,50.2,0,N America,Excel_Verified,Cluster 2
86,OP616725.1_NorthAmerica_2020,OP616725.1,N America,2020,2000,50.3,0,N America,Excel_Verified,Cluster 2
87,OP616724.1_NorthAmerica_2020,OP616724.1,N America,2020,2000,50.2,0,N America,Excel_Verified,Cluster 2
88,OP616723.1_NorthAmerica_2020,OP616723.1,N America,2020,2000,50.2,0,N America,Excel_Verified,Cluster 2
89,OP616722.1_NorthAmerica_2021,OP616722.1,N America,2021,2000,50.3,0,N America,Excel_Verified,Cluster 2
90,OP616721.1_NorthAmerica_2021,OP616721.1,N America,2021,2000,50.15,0,N America,Excel_Verified,Cluster 2
91,OP616720.1_NorthAmerica_2021,OP616720.1,N America,2021,2000,50.2,0,N America,Excel_Verified,Cluster 2
92,OM818373.1_Italy_2021,OM818373.1,Italy,2021,2000,50.4,0,Italy,Excel_Verified,Cluster 3
93,OM818372.1_Italy_2021,OM818372.1,Italy,2021,2000,50.45,0,Italy,Excel_Verified,Cluster 3
94,OM818371.1_Italy_2021,OM818371.1,Italy,2021,2000,50.2,0,Italy,Excel_Verified,Cluster 3
95,ON418889.1_Canada_2018,ON418889.1,Canada,2018,2000,50.25,0,Canada,Excel_Verified,Cluster 6
96,ON418888.1_Canada_2018,ON418888.1,Canada,2018,2000,50.25,0,Canada,Excel_Verified,Cluster 6
97,MT847026.1_Vietnam_2018,MT847026.1,Vietnam,2018,2000,50.4,0,Vietnam,Excel_Verified,Cluster 2
98,MT407372.1_Colombia_2018,MT407372.1,Colombia,2018,2000,50.15,0,Colombia,Excel_Verified,Cluster 3
99,MT075519.1_Brazil_2018,MT075519.1,Brazil,2018,2000,50.4,0,Brazil,Excel_Verified,Cluster 2
100,MT075518.1_Brazil_2017,MT075518.1,Brazil,2017,2000,50.4,0,Brazil,Excel_Verified,Cluster 2
101,MT075517.1_Brazil_2017,MT075517.1,Brazil,2017,2000,50.4,0,Brazil,Excel_Verified,Cluster 2
102,MT461294.1_Colombia_2018,MT461294.1,Colombia,2018,2000,50.3,0,Colombia,Excel_Verified,Cluster 6
103,MT461293.1_Colombia_2015,MT461293.1,Colombia,2015,2000,50.4,0,Colombia,Excel_Verified,Cluster 3
104,MT461292.1_Colombia_2018,MT461292.1,Colombia,2018,2000,50.35,0,Colombia,Excel_Verified,Cluster 6
