seq_id,accession,country,year,cluster,PC1,PC2
PD363191.1_China_2000,PD363191.1,China,2000,Cluster 6,0.31993478232709777,0.6597591483720022
MF769811.1_China_2017,MF769811.1,China,2017,Cluster 2,-1.8015660040356567,0.378516043856397
MF769807.1_China_2018,MF769807.1,China,2018,Cluster 6,0.926463730141458,0.2762172874900223
MT582241.1_China_2017,MT582241.1,China,2017,Cluster 6,0.30406790468996253,0.5159740208702427
NC_031753.1_USA_2015,NC_031753.1,USA,2015,Cluster 1,1.4508003661227828,-0.13834313730690262
PP067102.1_China_2023,PP067102.1,China,2023,Cluster 2,-1.8300972389606431,0.3662960386242775
PZ311593.1_SouthKorea_2025,PZ311593.1,South Korea,2025,Cluster 2,-1.9195263839711916,0.26220861260564954
PV764911.1_China_2023,PV764911.1,China,2023,Cluster 2,-1.6848067069555626,0.12381545352366709
OP616730.1_NorthAmerica_2021,OP616730.1,N America,2021,Cluster 2,-1.948407218101944,0.33729962872468777
OM818375.1_Italy_2021,OM818375.1,Italy,2021,Cluster 3,1.5313040999278211,-0.08740097616009614
ON418890.1_Canada_2018,ON418890.1,Canada,2018,Cluster 3,0.8135768855769383,-0.09510497948411681
ON015889.1_Hungary_2021,ON015889.1,Hungary,2021,Cluster 2,-1.7519898100781615,0.25923295838723065
ON015885.1_Hungary_2021,ON015885.1,Hungary,2021,Cluster 3,1.3450105727833197,0.21676162950668765
ON015883.1_Hungary_2021,ON015883.1,Hungary,2021,Cluster 2,-1.8075059427901672,0.4260200034645409
MN848608.1_China_2019,MN848608.1,China,2019,Cluster 6,-0.9392878439663163,0.4074505266967411
MN848602.1_China_2019,MN848602.1,China,2019,Cluster 6,0.9237335709100616,0.05684425593052121
MW453538.1_China_2020,MW453538.1,China,2020,Cluster 3,1.0958041783027612,0.30091581967038
MW032262.1_China_2019,MW032262.1,China,2019,Cluster 6,0.8849708127762292,0.3165548596103335
MW168693.1_SouthKorea_2021,MW168693.1,South Korea,2021,Cluster 3,0.7899979746543941,0.12823238359972097
MG868940.1_China_2017,MG868940.1,China,2017,Cluster 6,1.1503371915433669,0.5120270777935317
MT104510.1_China_2018,MT104510.1,China,2018,Cluster 1,1.7424335864202154,0.16203417489954774
